DATE TIME,CASE NO,APP NAME,TM NO,CLASS,"APPLICATION 
STATUS","APPLICATION 
SUB STATUS","TICK
AP","CK
TM11",NOTES,,IPO OFFICE
4/16/2026 0:00:00,X-287-010,EXPERTS PHYSIO,817194,44,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/16/2026 0:00:00,X-287-012,PAIN EXPERTS,817193,44,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/16/2026 0:00:00,X-287-013,PHYSIO CARE,817190,44,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/16/2026 0:00:00,X-287-017,THERAPY EXPERTS,817195,44,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/16/2026 0:00:00,A-004-061,RH SEWING MACHINE,796589,07,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/16/2026 0:00:00,A-004-015,SEASON ONE,683506,3,ASSIGNED 🕵️‍♂️,FAISAL (LHR),FALSE,FALSE,,,
4/16/2026 0:00:00,A-004-062,CHAPITRE,848160,03,01 STAGE 1️⃣,ACK REC 📨,FALSE,FALSE,,,
4/16/2026 0:00:00,A-004-064,FLAME CHEEZ C43,858485,43,02 STAGE 2️⃣,ACPT DONE ✅,FALSE,FALSE,,,
4/16/2026 0:00:00,A-004-065,FLAME CHEEZ  C35,858486,35,02 STAGE 2️⃣,ACPT DONE ✅,FALSE,FALSE,,,
4/16/2026 0:00:00,A-004-063,TOWN PIZZA HUB,841037,43,02 STAGE 2️⃣,EXAM DONE 🔍,FALSE,FALSE,,,
4/16/2026 0:00:00,X-823-001,HANI NATURALS C3,864466,3,01 STAGE 1️⃣,ACK REC 📨,,,,,
4/16/2026 0:00:00,X-823-002,HANI NATURALS C30,864467,30,01 STAGE 1️⃣,ACK REC 📨,,,,,
4/16/2026 0:00:00,X-823-003,HANI NATURALS C35,864469,35,01 STAGE 1️⃣,ACK REC 📨,,,,,
4/15/2026 0:00:00,A-041-029,NEW BEAUTY LOOP SAPNA,774328,03,OPPOSITION ⚖,RECEIVED 📨,FALSE,FALSE,,,
4/15/2026 0:00:00,X-274-002,FLORRIS PROFESSIONAL 35,817166,35,OPPOSITION ⚖,RECEIVED 📨,FALSE,FALSE,,,
4/15/2026 0:00:00,X-096-045,WASIFA PARTY [NAME] ,811559,32,OPPOSITION ⚖,RECEIVED 📨,,,,,
4/14/2026 0:00:00,A-004-020,ZAKWAAN FOODS,727883,30,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,X-086-006,SKYNEX,759428,9,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,X-287-004,BODY FIX,772088,44,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,X-169-003,OBERON,772348,35,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,X-311-001,AC PLUS+,772349,3,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,X-287-007,BODY FIT C44,775258,44,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,X-287-006,BODY FIT C41,775259,41,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,X-730-006,DASTAN,780858,35,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,X-730-005,PRO AGRE FORMS 44,780861,44,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,X-730-004,PRO AGRE FORMS,780863,40,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,A-049-007,FLORA CLEAN,793304,3,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,A-012-011,ZHIS PVT LTD,800951,9,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,A-012-010,CELLGER MAN,801006,9,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,NB-948-001,IBRAHIM HOTEL TEA,801928,30,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,NB-949-001,AL IBRAHIM SINDH CHAI,801931,30,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,A-028-013,AL-BASIT HILLS,806115,42,03 STAGE 3️⃣,D-NOTE REC 📨,FALSE,FALSE,,,
4/14/2026 0:00:00,A-034-006,ALTAF DEVELOPMENT 803756 C36,803756,36,03 STAGE 3️⃣,D-NOTE REC 📨,,,,,
